team_size,rank_tier,min_rank,max_rank,is_win,day_of_week,date,server_region,player_goals,player_saves,player_shots,player_assists,player_score,player_boost_avg,player_boost_bpm,player_boost_bcpm,player_boost_percent_0_25,player_boost_percent_75_100,player_movement_avg_speed,player_movement_total_distance,player_movement_time_supersonic,player_movement_time_slow,player_positioning_avg_distance_to_ball,player_positioning_time_defensive,player_positioning_time_offensive,player_demos_inflicted,player_demos_taken,camera_fov,camera_height,camera_pitch,camera_distance,camera_stiffness,camera_swivel_speed,camera_transition_speed,games_already_played
3,19.0,19.0,19.0,0,Tuesday,2022-11-29 12:50:36-06:00,USE,2,1,4,0,404,54.51,299,341.65775,26.815298,37.64706,1483,418670,36.76,160.26,2951,189.31,115.64,0,3,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,1,Tuesday,2022-12-06 17:59:43-06:00,USE,0,0,0,0,78,58.07,347,382.6448,16.13789,31.759237,1461,490876,56.11,208.36,2812,211.11,160.66,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,1,Tuesday,2022-12-06 17:59:45-06:00,USE,0,0,0,0,78,58.16,346,382.2535,16.142084,31.776335,1462,490881,55.81,208.81,2803,211.49,160.83,1,1,110,110,-3,280,0.45,10.0,1.7,1
3,NaN,18.0,19.0,0,Tuesday,2022-12-06 18:06:19-06:00,USE,0,0,3,0,174,50.7,343,332.685,36.074036,26.953588,1487,458373,58.9,165.99,2549,196.75,119.76,2,1,110,110,-3,280,0.45,10.0,1.7,2
3,18.0,18.0,18.0,1,Wednesday,2022-12-07 12:54:38-06:00,USE,1,0,2,0,140,59.81,364,411.51257,20.09565,34.217648,1610,180004,23.69,53.16,2978,77.45,45.65,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,18.0,18.0,18.0,0,Wednesday,2022-12-07 20:20:04-06:00,USE,0,0,1,0,34,44.33,415,434.02432,53.442337,19.535284,1565,106601,12.44,37.56,3455,52.82,23.12,0,0,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,17.0,19.0,1,Thursday,2022-12-08 15:41:36-06:00,USE,2,0,7,0,400,59.81,276,310.7007,14.569575,41.215492,1319,425052,26.59,235.61,2712,193.39,152.49,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,0,Tuesday,2022-12-13 00:06:30-06:00,USE,0,1,1,1,232,59.89,320,350.9654,12.496334,32.184998,1475,624128,67.64,254.3,3072,299.94,162.87,2,2,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,0,Tuesday,2022-12-13 00:06:45-06:00,USE,0,1,1,1,232,59.88,320,350.4849,12.474641,32.2641,1474,624067,67.73,254.2,3069,300.02,162.98,2,2,110,110,-3,280,0.45,10.0,1.7,1
3,NaN,18.0,19.0,1,Tuesday,2022-12-13 00:20:28-06:00,USE,1,1,1,0,267,57.73,403,472.11676,21.702528,34.888115,1502,321157,37.49,123.19,2908,145.52,90.51,2,0,110,110,-3,280,0.45,10.0,1.7,2
3,19.0,17.0,19.0,1,Tuesday,2022-12-13 18:52:47-06:00,USW,1,0,4,1,280,47.85,300,301.30856,28.703653,28.563417,1393,479951,38.28,210.49,2571,249.28,115.48,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,0,Friday,2022-12-16 20:45:30-06:00,USE,0,1,5,2,322,51.66,345,369.8117,35.67112,26.372692,1479,594625,70.01,209.85,3036,276.05,149.92,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,1,Monday,2022-12-19 22:21:58-06:00,USE,1,1,4,0,276,50.94,344,338.20963,29.594965,26.965292,1446,490139,60.0,205.32,2962,206.51,163.0,0,1,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,18.0,18.0,0,Thursday,2022-12-22 23:32:59-06:00,USE,0,0,0,0,94,58.82,338,366.58286,22.546556,34.47378,1425,448752,48.54,183.57,2920,227.12,103.68,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,17.0,19.0,1,Thursday,2022-12-22 23:38:43-06:00,USE,2,0,4,1,380,51.58,352,363.83884,27.062563,25.84405,1541,299220,35.53,104.93,3139,137.97,71.23,0,0,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,19.0,19.0,0,Tuesday,2022-12-27 10:39:33-06:00,USE,0,0,0,0,114,55.92,243,244.66396,21.001,30.986769,1308,432139,20.25,227.02,2987,230.76,123.7,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,0,Tuesday,2022-12-27 11:09:24-06:00,USE,0,2,2,0,172,51.97,310,306.87195,28.403173,28.728613,1418,444364,41.91,193.01,2896,229.66,95.98,1,0,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,19.0,19.0,0,Wednesday,2022-12-28 11:30:22-06:00,USE,0,0,2,0,108,57.41,431,486.14807,26.827374,32.18466,1611,380946,53.83,108.81,2947,135.69,116.16,2,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,1,Saturday,2022-12-31 07:27:23-06:00,USE,0,1,2,1,202,44.65,299,314.37933,46.849667,24.32679,1391,421825,24.21,185.81,2712,237.49,73.48,0,2,110,110,-3,280,0.45,10.0,1.7,0
